Module Information,Section 1,Section 2,Section 3,Section 4,Section 5,Section 6
Groups and rings,Homomorphisms and normal subgroups,Groups acting on sets,Finitely generated abelian groups,Basic Theory of rings,PID and UFD,Fields
MATH50005,Homomorphism,Action,Jordan Theorem,Rank of a group,Maximal ideal,Associates
2,Automorphism,Faithful action,Smith normal form,Ring,Polynomial ring,Finite extension
1+2,Isomorphism ,Orbit,Classification of finitely generated abelian groups,Subring,Euclidean domain,Degree of extension
6,Normal subgroup,Stabiliser,Row operation,Commutative ring,Principal ideal domain,Field extension
,Left coset,Orbit-Stabiliser Theorem,Free abelian group of rank,Invertible element,Irreducible element,Constructing fields from irreducible polynomials
,Quotient group,Cayley Theorem,Keywords (Prerequisite),Multiplicative group,Unique factorisation domain,Existence of finite fields
,Simple subgroup,Cauchy Theorem,Skills (Taught),Division ring,Properly divides,Keywords (Prerequisite)
,Isomorphism Theorem,P-group,Skills (Prerequisite),Field,Keywords (Prerequisite),Skills (Taught)
,Centre ,Transitive action,,Homomorphism of rings,Skills (Taught),Skills (Prerequisite)
,Commutator,Transitively,,Ideal,Skills (Prerequisite),
,Torsion subgroup,Fixed point,,Quotient ring,,
,P-primary subgroup,Keywords (Prerequisite),,Principal ideal,,
,Generator,Skills (Taught),,Generator of ideal,,
,Keywords (Prerequisite),Skills (Prerequisite),,Isomorphism,,
,Abelian,,,Endomorphism,,
,Im,,,Isomorphism Theorem,,
,Ker,,,Zero-divisor,,
,Subgroup,,,Integral domain,,
,Identity element,,,Finite integral domain,,
,Dihedral group,,,Subfield,,
,Order of an element,,,Field extension,,
,Langrange Theorem,,,Characteristic of integral domain,,
,Row and column operations,,,Proper ideal,,
,Cyclic group,,,Zero ideal,,
,Group,,,Prime ideal,,
,Skills (Taught),,,Keywords (Prerequisite),,
,Skills (Prerequisite),,,Binary operations,,
,,,,Associative,,
,,,,Unit element,,
,,,,Distributivity,,
,,,,Vector space,,
,,,,Ring of polynomials,,
,,,,Basis,,
,,,,Linear independence,,
,,,,Leibniz formula,,
,,,,Skills (Taught),,
,,,,Skills (Prerequisite),,
